,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
112,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1119316,megawatthours
113,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1119283,megawatthours
114,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1118134,megawatthours
115,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1116879,megawatthours
116,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1103455,megawatthours
117,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1103461,megawatthours
118,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1103095,megawatthours
119,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1103455,megawatthours
120,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1103290,megawatthours
121,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-1696,megawatthours
122,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-1779,megawatthours
123,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-1757,megawatthours
124,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-1696,megawatthours
125,2024-11-10,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-1674,megawatthours
126,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1091418,megawatthours
127,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1093575,megawatthours
128,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1095948,megawatthours
129,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1091418,megawatthours
130,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1089802,megawatthours
131,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1106644,megawatthours
132,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1107738,megawatthours
133,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1110395,megawatthours
134,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Mountain,Mountain,1106644,megawatthours
135,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Pacific,Pacific,1105760,megawatthours
136,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Arizona,Arizona,1086795,megawatthours
137,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Central,Central,1088975,megawatthours
138,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Eastern,Eastern,1091342,megawatthours
139,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Mountain,Mountain,1086795,megawatthours
140,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",NG,Net generation,Pacific,Pacific,1085153,megawatthours
141,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Arizona,Arizona,-4617,megawatthours
142,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Central,Central,-4594,megawatthours
143,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Eastern,Eastern,-4599,megawatthours
144,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Mountain,Mountain,-4617,megawatthours
145,2024-11-09,ERCO,"Electric Reliability Council of Texas, Inc.",TI,Total interchange,Pacific,Pacific,-4642,megawatthours
146,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Arizona,Arizona,1210676,megawatthours
147,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Central,Central,1212411,megawatthours
148,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Eastern,Eastern,1214473,megawatthours
149,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Mountain,Mountain,1210676,megawatthours
150,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,Pacific,Pacific,1208653,megawatthours
151,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Arizona,Arizona,1231309,megawatthours
152,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Central,Central,1233256,megawatthours
153,2024-11-08,ERCO,"Electric Reliability Council of Texas, Inc.",DF,Day-ahead demand forecast,Eastern,Eastern,1234449,megawatthours
